"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"11/29/2019","21","Ozone","CCNY","36-061-0135","AQS","2","21","5","13"
"11/30/2019","24","Ozone","CCNY","36-061-0135","AQS","3","24",".","19"
"12/01/2019","23","Ozone","CCNY","36-061-0135","AirNow","3","23",".","20"
"12/02/2019","27","Ozone","CCNY","36-061-0135","AirNow","3","27",".","18"
"12/03/2019","32","PM2.5","Intermediate School 143","36-061-0115","AQS","2","29",".","32"
"12/04/2019","46","PM2.5","Intermediate School 143","36-061-0115","AQS","5","8",".","46"
"12/05/2019","36","PM2.5","Intermediate School 143","36-061-0115","AQS","5","26","11","36"
"12/06/2019","30","PM2.5","Intermediate School 143","36-061-0115","AQS","3","22",".","30"
"12/07/2019","30","PM2.5","Intermediate School 143","36-061-0115","AQS","2","24",".","30"
"12/08/2019","27","PM2.5","Intermediate School 143","36-061-0115","AQS","3","25",".","27"
"12/09/2019","33","PM2.5","Intermediate School 143","36-061-0115","AQS","10","13",".","33"
"12/10/2019","48","PM2.5","Intermediate School 143","36-061-0115","AQS","7","20",".","48"
"12/11/2019","29","PM2.5","DIVISION STREET","36-061-0134","AQS","5","20","13","29"
"12/12/2019","35","PM2.5","Intermediate School 143","36-061-0115","AQS","5","21",".","35"
"12/13/2019","39","PM2.5","DIVISION STREET","36-061-0134","AQS","9","20",".","39"
"12/14/2019","29","PM2.5","DIVISION STREET","36-061-0134","AQS","8","20",".","29"
"12/15/2019","37","PM2.5","Intermediate School 143","36-061-0115","AQS","3","22",".","37"
"12/16/2019","37","PM2.5","Intermediate School 143","36-061-0115","AQS","3","20",".","37"
"12/17/2019","30","PM2.5","IS 45","36-061-0079","AQS","5","20","7","30"
"12/18/2019","34","PM2.5","DIVISION STREET","36-061-0134","AQS","3","27",".","34"
"12/19/2019","45","PM2.5","Intermediate School 143","36-061-0115","AQS","2","25",".","45"
"12/20/2019","40","PM2.5","Intermediate School 143","36-061-0115","AQS","3","21",".","40"
"12/21/2019","52","PM2.5","Intermediate School 143","36-061-0115","AQS","10","15",".","52"
"12/22/2019","64","PM2.5","Intermediate School 143","36-061-0115","AQS","13","7",".","64"
"12/23/2019","66","PM2.5","IS 45","36-061-0079","AQS","15","6","40","66"
"12/24/2019","42","PM2.5","DIVISION STREET","36-061-0134","AQS","10","21",".","42"
"12/25/2019","53","PM2.5","Intermediate School 143","36-061-0115","AQS","11","12",".","53"
"12/26/2019","66","PM2.5","DIVISION STREET","36-061-0134","AQS","13","13",".","66"
"12/27/2019","51","PM2.5","Intermediate School 143","36-061-0115","AQS","7","12",".","51"
"12/28/2019","53","PM2.5","DIVISION STREET","36-061-0134","AQS","6","19",".","53"
"12/29/2019","56","PM2.5","DIVISION STREET","36-061-0134","AQS","6","21","19","56"
"12/30/2019","24","Ozone","CCNY","36-061-0135","AirNow","3","24",".","16"
"12/31/2019","30","PM2.5","Intermediate School 143","36-061-0115","AQS","7","20",".","30"
