"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25"
"04/20/2020","29","PM2.5","Andersen School","27-053-0963","AirNow",".","26",".","29"
"04/21/2020","24","PM2.5","Andersen School","27-053-0963","AirNow",".","23",".","24"
"04/22/2020","40","PM2.5","Andersen School","27-053-0963","AirNow",".","24",".","40"
"04/23/2020","53","PM2.5","Andersen School","27-053-0963","AirNow",".","20",".","53"
"04/24/2020","52","PM2.5","Andersen School","27-053-0963","AirNow",".","24",".","52"
"04/25/2020","54","PM2.5","Andersen School","27-053-0963","AirNow",".","27",".","54"
"04/26/2020","36","PM2.5","Andersen School","27-053-0963","AirNow",".","29",".","36"
"04/27/2020","32","PM2.5","Andersen School","27-053-0963","AirNow",".","28",".","32"
"04/28/2020","25","PM2.5","Andersen School","27-053-0963","AirNow",".","23",".","25"
"04/29/2020","24","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","24",".","18"
"04/30/2020","34","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow",".","28",".","34"
"05/01/2020","43","PM2.5","Andersen School","27-053-0963","AirNow",".","32",".","43"
"05/02/2020","35","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","35",".","25"
"05/03/2020","26","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","26",".","25"
"05/04/2020","20","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","20",".","18"
"05/05/2020","25","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","25",".","24"
"05/06/2020","26","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","26",".","23"
"05/07/2020","27","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","27",".","24"
"05/08/2020","21","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","21",".","20"
"05/09/2020","43","PM2.5","Andersen School","27-053-0963","AirNow",".","24",".","43"
"05/10/2020","21","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","21",".","18"
"05/11/2020","23","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","23",".","22"
"05/12/2020","35","PM2.5","Andersen School","27-053-0963","AirNow",".","28",".","35"
"05/13/2020","34","PM2.5","Andersen School","27-053-0963","AirNow",".","24",".","34"
"05/14/2020","24","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","24",".","23"
"05/15/2020","27","PM2.5","Andersen School","27-053-0963","AirNow",".","22",".","27"
"05/16/2020","27","PM2.5","Andersen School","27-053-0963","AirNow",".","21",".","27"
"05/17/2020","21","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","21",".","18"
"05/18/2020","24","PM2.5","Andersen School","27-053-0963","AirNow",".","23",".","24"
"05/19/2020","33","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow",".","26",".","33"
"05/20/2020","35","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","35",".","33"
"05/21/2020","28","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow",".","24",".","28"
"05/22/2020","38","PM2.5","Andersen School","27-053-0963","AirNow",".","21",".","38"
"05/23/2020","43","PM2.5","Andersen School","27-053-0963","AirNow",".","24",".","43"
"05/24/2020","49","PM2.5","Andersen School","27-053-0963","AirNow",".","30",".","49"
"05/25/2020","43","PM2.5","Andersen School","27-053-0963","AirNow",".","31",".","43"
"05/26/2020","23","PM2.5","Andersen School","27-053-0963","AirNow",".","23",".","23"
"05/27/2020","27","PM2.5","Andersen School","27-053-0963","AirNow",".","26",".","27"
"05/28/2020","30","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","30",".","28"
"05/29/2020","27","PM2.5","Andersen School","27-053-0963","AirNow",".","14",".","27"
"05/30/2020","29","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","29",".","28"
"05/31/2020","53","PM2.5","Andersen School","27-053-0963","AirNow",".","37",".","53"
"06/01/2020","43","PM2.5","Andersen School","27-053-0963","AirNow",".","41",".","43"
"06/02/2020","46","PM2.5","Andersen School","27-053-0963","AirNow",".","30",".","46"
"06/03/2020","36","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","36",".","35"
"06/04/2020","44","PM2.5","Andersen School","27-053-0963","AirNow",".","32",".","44"
"06/05/2020","31","PM2.5","Andersen School","27-053-0963","AirNow",".","30",".","31"
"06/06/2020","30","PM2.5","Andersen School","27-053-0963","AirNow",".","25",".","30"
"06/07/2020","39","PM2.5","Andersen School","27-053-0963","AirNow",".","35",".","39"
"06/08/2020","58","PM2.5","Andersen School","27-053-0963","AirNow",".","45",".","58"
"06/09/2020","51","PM2.5","Andersen School","27-053-0963","AirNow",".","34",".","51"
"06/10/2020","28","PM2.5","Andersen School","27-053-0963","AirNow",".","21",".","28"
"06/11/2020","29","PM2.5","Andersen School","27-053-0963","AirNow",".","28",".","29"
"06/12/2020","26","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow",".","18",".","26"
"06/13/2020","24","PM2.5","Andersen School","27-053-0963","AirNow",".","22",".","24"
"06/14/2020","33","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","33",".","22"
"06/15/2020","39","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","39",".","38"
"06/16/2020","44","Ozone","Near Road I-35/I-94","27-053-0962","AirNow",".","44",".","43"
"06/17/2020","45","PM2.5","Andersen School","27-053-0963","AirNow",".","44",".","45"
"06/18/2020","43","PM2.5","Andersen School","27-053-0963","AirNow",".","33",".","43"
"06/19/2020","34","PM2.5","Andersen School","27-053-0963","AirNow",".","18",".","34"
"06/20/2020","36","PM2.5","Andersen School","27-053-0963","AirNow",".","19",".","36"
"06/21/2020","37","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow",".","31",".","37"
"06/22/2020","27","PM2.5","Andersen School","27-053-0963","AirNow",".","23",".","27"
"06/23/2020","20","PM2.5","Andersen School","27-053-0963","AirNow",".","17",".","20"
"06/24/2020","38","PM2.5","Andersen School","27-053-0963","AirNow",".","23",".","38"
"06/25/2020","43","PM2.5","Andersen School","27-053-0963","AirNow",".","39",".","43"
"06/26/2020","30","PM2.5","Andersen School","27-053-0963","AirNow",".","28",".","30"
